clip_name,clip_path,behavior_class,hard_negative_type,scenario_id,take_no,target_seat_id,neighbor_seat_id,notes,split,review_status
N01_normal_take01.mp4,02_clips\normal\N01_normal_take01.mp4,normal,,N01,1,,,,,complete
N01_normal_take02.mp4,02_clips\normal\N01_normal_take02.mp4,normal,,N01,2,,,,,complete
N01_normal_take03.mp4,02_clips\normal\N01_normal_take03.mp4,normal,,N01,3,,,,,complete
N01_normal_take04.mp4,02_clips\normal\N01_normal_take04.mp4,normal,,N01,4,,,,,complete
N01_normal_take05.mp4,02_clips\normal\N01_normal_take05.mp4,normal,,N01,5,,,,,complete
N02_normal_take01.mp4,02_clips\normal\N02_normal_take01.mp4,normal,,N02,1,,,,,complete
N02_normal_take02.mp4,02_clips\normal\N02_normal_take02.mp4,normal,,N02,2,,,,,complete
N02_normal_take03.mp4,02_clips\normal\N02_normal_take03.mp4,normal,,N02,3,,,,,complete
N02_normal_take04.mp4,02_clips\normal\N02_normal_take04.mp4,normal,,N02,4,,,,,complete
N02_normal_take05.mp4,02_clips\normal\N02_normal_take05.mp4,normal,,N02,5,,,,,complete
N03_normal_take01.mp4,02_clips\normal\N03_normal_take01.mp4,normal,,N03,1,,,,,complete
N03_normal_take02.mp4,02_clips\normal\N03_normal_take02.mp4,normal,,N03,2,,,,,complete
N03_normal_take03.mp4,02_clips\normal\N03_normal_take03.mp4,normal,,N03,3,,,,,complete
N03_normal_take04.mp4,02_clips\normal\N03_normal_take04.mp4,normal,,N03,4,,,,,complete
N03_normal_take05.mp4,02_clips\normal\N03_normal_take05.mp4,normal,,N03,5,,,,,complete
N04_normal_take01.mp4,02_clips\normal\N04_normal_take01.mp4,normal,,N04,1,,,,,complete
N04_normal_take02.mp4,02_clips\normal\N04_normal_take02.mp4,normal,,N04,2,,,,,complete
N04_normal_take03.mp4,02_clips\normal\N04_normal_take03.mp4,normal,,N04,3,,,,,complete
N04_normal_take04.mp4,02_clips\normal\N04_normal_take04.mp4,normal,,N04,4,,,,,complete
N04_normal_take05.mp4,02_clips\normal\N04_normal_take05.mp4,normal,,N04,5,,,,,complete
N05_normal_take01.mp4,02_clips\normal\N05_normal_take01.mp4,normal,,N05,1,,,,,complete
N05_normal_take02.mp4,02_clips\normal\N05_normal_take02.mp4,normal,,N05,2,,,,,complete
N05_normal_take03.mp4,02_clips\normal\N05_normal_take03.mp4,normal,,N05,3,,,,,complete
N05_normal_take04.mp4,02_clips\normal\N05_normal_take04.mp4,normal,,N05,4,,,,,complete
N05_normal_take05.mp4,02_clips\normal\N05_normal_take05.mp4,normal,,N05,5,,,,,complete
N06_normal_take01.mp4,02_clips\normal\N06_normal_take01.mp4,normal,,N06,1,,,camera moves,,exclude
N06_normal_take02.mp4,02_clips\normal\N06_normal_take02.mp4,normal,,N06,2,,,camera moves,,exclude
N06_normal_take03.mp4,02_clips\normal\N06_normal_take03.mp4,normal,,N06,3,,,,,complete
N06_normal_take04.mp4,02_clips\normal\N06_normal_take04.mp4,normal,,N06,4,,,,,complete
N06_normal_take05.mp4,02_clips\normal\N06_normal_take05.mp4,normal,,N06,5,,,,,complete
N07_normal_take01.mp4,02_clips\normal\N07_normal_take01.mp4,normal,,N07,1,,,,,complete
N07_normal_take02.mp4,02_clips\normal\N07_normal_take02.mp4,normal,,N07,2,,,,,complete
N07_normal_take03.mp4,02_clips\normal\N07_normal_take03.mp4,normal,,N07,3,,,,,complete
N07_normal_take04.mp4,02_clips\normal\N07_normal_take04.mp4,normal,,N07,4,,,,,complete
