clip_name,behavior_class,target_seat,scenario_id,hard_negative_type,total_frames,sampled_frames,fps,avg_people_detected,min_people_detected,max_people_detected,npz_path
N01_normal_take01.mp4,normal,,N01,,300,300,30.0,8.0,7,8,poses\N01_normal_take01.npz
N01_normal_take02.mp4,normal,,N01,,300,300,30.0,7.8,7,8,poses\N01_normal_take02.npz
N01_normal_take03.mp4,normal,,N01,,300,300,30.0,7.5,7,8,poses\N01_normal_take03.npz
N01_normal_take04.mp4,normal,,N01,,300,300,30.0,7.1,7,8,poses\N01_normal_take04.npz
N01_normal_take05.mp4,normal,,N01,,300,300,30.0,7.5,7,8,poses\N01_normal_take05.npz
N02_normal_take01.mp4,normal,,N02,,300,300,30.0,8.0,8,8,poses\N02_normal_take01.npz
N02_normal_take02.mp4,normal,,N02,,300,300,30.0,8.0,8,8,poses\N02_normal_take02.npz
N02_normal_take03.mp4,normal,,N02,,300,300,30.0,8.0,8,8,poses\N02_normal_take03.npz
N02_normal_take04.mp4,normal,,N02,,300,300,30.0,8.0,8,8,poses\N02_normal_take04.npz
N02_normal_take05.mp4,normal,,N02,,300,300,30.0,8.0,8,8,poses\N02_normal_take05.npz
N03_normal_take01.mp4,normal,,N03,,300,300,30.0,8.0,8,8,poses\N03_normal_take01.npz
N03_normal_take02.mp4,normal,,N03,,300,300,30.0,8.0,8,8,poses\N03_normal_take02.npz
N03_normal_take03.mp4,normal,,N03,,300,300,30.0,7.9,7,8,poses\N03_normal_take03.npz
N03_normal_take04.mp4,normal,,N03,,300,300,30.0,7.1,7,8,poses\N03_normal_take04.npz
N03_normal_take05.mp4,normal,,N03,,300,300,30.0,7.8,7,8,poses\N03_normal_take05.npz
N04_normal_take01.mp4,normal,,N04,,249,249,25.0,7.2,7,8,poses\N04_normal_take01.npz
N04_normal_take02.mp4,normal,,N04,,249,249,25.0,7.3,7,8,poses\N04_normal_take02.npz
N04_normal_take03.mp4,normal,,N04,,249,249,25.0,7.1,6,8,poses\N04_normal_take03.npz
N04_normal_take04.mp4,normal,,N04,,249,249,25.0,7.8,6,8,poses\N04_normal_take04.npz
N04_normal_take05.mp4,normal,,N04,,249,249,25.0,7.6,6,8,poses\N04_normal_take05.npz
N05_normal_take01.mp4,normal,,N05,,249,249,25.0,7.6,7,8,poses\N05_normal_take01.npz
N05_normal_take02.mp4,normal,,N05,,249,249,25.0,7.9,7,8,poses\N05_normal_take02.npz
N05_normal_take03.mp4,normal,,N05,,249,249,25.0,8.0,8,8,poses\N05_normal_take03.npz
N05_normal_take04.mp4,normal,,N05,,249,249,25.0,8.0,8,8,poses\N05_normal_take04.npz
N05_normal_take05.mp4,normal,,N05,,249,249,25.0,8.0,8,8,poses\N05_normal_take05.npz
N06_normal_take03.mp4,normal,,N06,,249,249,25.0,8.0,8,8,poses\N06_normal_take03.npz
N06_normal_take04.mp4,normal,,N06,,249,249,25.0,8.0,8,8,poses\N06_normal_take04.npz
N06_normal_take05.mp4,normal,,N06,,249,249,25.0,8.0,8,8,poses\N06_normal_take05.npz
N07_normal_take01.mp4,normal,,N07,,249,249,25.0,7.4,7,8,poses\N07_normal_take01.npz
N07_normal_take02.mp4,normal,,N07,,249,249,25.0,7.4,7,8,poses\N07_normal_take02.npz
N07_normal_take03.mp4,normal,,N07,,249,249,25.0,8.0,7,8,poses\N07_normal_take03.npz
N07_normal_take04.mp4,normal,,N07,,249,249,25.0,8.0,7,8,poses\N07_normal_take04.npz
N07_normal_take05.mp4,normal,,N07,,249,249,25.0,7.9,7,8,poses\N07_normal_take05.npz
N08_normal_take01.mp4,normal,,N08,,249,249,25.0,8.0,8,8,poses\N08_normal_take01.npz
N08_normal_take02.mp4,normal,,N08,,249,249,25.0,8.0,8,8,poses\N08_normal_take02.npz
N08_normal_take03.mp4,normal,,N08,,249,249,25.0,8.0,8,8,poses\N08_normal_take03.npz
N08_normal_take04.mp4,normal,,N08,,249,249,25.0,8.0,8,8,poses\N08_normal_take04.npz
N08_normal_take05.mp4,normal,,N08,,249,249,25.0,8.0,8,8,poses\N08_normal_take05.npz
HN01_normal_take01.mp4,normal,A1,HN01,scratching_face,249,249,25.0,8.0,8,8,poses\HN01_normal_take01.npz
HN01_normal_take02.mp4,normal,A2,HN01,scratching_face,249,249,25.0,8.0,8,8,poses\HN01_normal_take02.npz
HN01_normal_take03.mp4,normal,A3,HN01,scratching_face,249,249,25.0,8.0,8,8,poses\HN01_normal_take03.npz
HN01_normal_take04.mp4,normal,A4,HN01,scratching_face,249,249,25.0,8.0,8,8,poses\HN01_normal_take04.npz
HN01_normal_take05.mp4,normal,B1,HN01,scratching_face,249,249,25.0,8.0,7,8,poses\HN01_normal_take05.npz
HN01_normal_take06.mp4,normal,B2,HN01,scratching_face,249,249,25.0,8.0,8,8,poses\HN01_normal_take06.npz
HN01_normal_take07.mp4,normal,B3,HN01,scratching_face,249,249,25.0,8.0,8,8,poses\HN01_normal_take07.npz
HN01_normal_take08.mp4,normal,B4,HN01,scratching_face,249,249,25.0,8.0,8,8,poses\HN01_normal_take08.npz
HN02_normal_take01.mp4,normal,A1,HN02,stretching,249,249,25.0,8.0,7,8,poses\HN02_normal_take01.npz
HN02_normal_take02.mp4,normal,A2,HN02,stretching,249,249,25.0,7.8,7,8,poses\HN02_normal_take02.npz
HN02_normal_take03.mp4,normal,A3,HN02,stretching,249,249,25.0,7.3,6,8,poses\HN02_normal_take03.npz
HN02_normal_take04.mp4,normal,A4,HN02,stretching,249,249,25.0,6.8,5,8,poses\HN02_normal_take04.npz
HN02_normal_take05.mp4,normal,B1,HN02,stretching,249,249,25.0,8.0,8,8,poses\HN02_normal_take05.npz
HN02_normal_take06.mp4,normal,B2,HN02,stretching,249,249,25.0,7.7,7,8,poses\HN02_normal_take06.npz
HN02_normal_take07.mp4,normal,B3,HN02,stretching,249,249,25.0,7.7,7,8,poses\HN02_normal_take07.npz
HN02_normal_take08.mp4,normal,B4,HN02,stretching,249,249,25.0,7.5,6,8,poses\HN02_normal_take08.npz
HN03_normal_take01.mp4,normal,A1,HN03,dropping_pen,249,249,25.0,8.0,7,8,poses\HN03_normal_take01.npz
HN03_normal_take02.mp4,normal,A2,HN03,dropping_pen,249,249,25.0,8.0,8,8,poses\HN03_normal_take02.npz
HN03_normal_take03.mp4,normal,A3,HN03,dropping_pen,249,249,25.0,7.9,7,8,poses\HN03_normal_take03.npz
HN03_normal_take04.mp4,normal,A4,HN03,dropping_pen,249,249,25.0,8.0,7,8,poses\HN03_normal_take04.npz
HN03_normal_take06.mp4,normal,B2,HN03,dropping_pen,249,249,25.0,7.4,7,8,poses\HN03_normal_take06.npz
HN03_normal_take07.mp4,normal,B3,HN03,dropping_pen,249,249,25.0,7.7,7,8,poses\HN03_normal_take07.npz
HN03_normal_take08.mp4,normal,B4,HN03,dropping_pen,249,249,25.0,7.8,7,8,poses\HN03_normal_take08.npz
HN04_normal_take01.mp4,normal,A1,HN04,picking_up_pen,249,249,25.0,8.0,8,8,poses\HN04_normal_take01.npz
HN04_normal_take02.mp4,normal,A2,HN04,picking_up_pen,249,249,25.0,7.9,6,8,poses\HN04_normal_take02.npz
HN04_normal_take07.mp4,normal,B3,HN04,picking_up_pen,249,249,25.0,7.9,7,8,poses\HN04_normal_take07.npz
HN04_normal_take08.mp4,normal,B4,HN04,picking_up_pen,249,249,25.0,7.9,7,8,poses\HN04_normal_take08.npz
HN05_normal_take01.mp4,normal,A1,HN05,erasing,249,249,25.0,8.0,7,8,poses\HN05_normal_take01.npz
