clip_name,behavior_class,target_seat,scenario_id,num_frames,overall_visibility,quality,bad_nose_frames_pct,bad_wrist_frames_pct,nose,left_eye,right_eye,left_ear,right_ear,mouth_left,mouth_right,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip
HN01_normal_take01,normal,A1,HN01,249,0.986,good,0.0,0.0,0.998,0.997,0.998,0.996,0.998,0.998,0.999,0.999,1.0,0.985,0.985,0.979,0.96,0.943,0.959
HN01_normal_take02,normal,A2,HN01,249,0.981,good,0.0,0.0,0.998,0.997,0.998,0.997,0.999,0.998,0.999,1.0,0.999,0.987,0.977,0.978,0.942,0.912,0.937
HN01_normal_take03,normal,A3,HN01,249,0.972,good,0.0,0.0,0.999,0.999,0.999,0.998,0.999,0.999,1.0,1.0,1.0,0.988,0.977,0.978,0.946,0.833,0.863
HN01_normal_take04,normal,A4,HN01,249,0.966,good,1.2,1.2,0.992,0.992,0.991,0.993,0.992,0.993,0.995,0.999,0.998,0.971,0.948,0.963,0.901,0.871,0.887
HN01_normal_take05,normal,B1,HN01,249,0.977,good,0.0,0.0,0.994,0.992,0.994,0.991,0.996,0.992,0.996,0.999,0.999,0.967,0.974,0.966,0.936,0.918,0.94
HN01_normal_take06,normal,B2,HN01,249,0.978,good,0.4,0.4,0.993,0.992,0.993,0.992,0.996,0.996,0.998,0.999,0.999,0.973,0.971,0.972,0.934,0.923,0.941
HN01_normal_take07,normal,B3,HN01,249,0.976,good,2.4,2.4,0.995,0.994,0.993,0.995,0.993,0.997,0.997,0.999,0.998,0.961,0.967,0.955,0.934,0.919,0.941
HN01_normal_take08,normal,B4,HN01,249,0.979,good,1.6,1.6,0.998,0.997,0.998,0.997,0.999,0.999,0.999,0.999,0.999,0.974,0.967,0.952,0.914,0.937,0.954
HN02_normal_take01,normal,A1,HN02,249,0.969,good,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.984,0.979,0.96,0.94,0.828,0.852
HN02_normal_take02,normal,A2,HN02,249,0.968,good,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.984,0.982,0.966,0.953,0.807,0.826
HN02_normal_take03,normal,A3,HN02,249,0.964,good,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,0.988,0.963,0.972,0.773,0.793
HN02_normal_take04,normal,A4,HN02,249,0.98,good,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984,0.992,0.975,0.975,0.881,0.887
HN02_normal_take05,normal,B1,HN02,249,0.981,good,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.982,0.991,0.961,0.977,0.897,0.913
HN02_normal_take06,normal,B2,HN02,249,0.979,good,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.985,0.991,0.973,0.977,0.871,0.887
HN02_normal_take07,normal,B3,HN02,249,0.969,good,0.0,0.0,0.998,0.998,0.998,0.998,0.999,0.998,0.998,0.999,0.999,0.976,0.985,0.966,0.972,0.819,0.837
HN02_normal_take08,normal,B4,HN02,249,0.973,good,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.979,0.985,0.954,0.959,0.848,0.871
