event_idx,start_time,end_time,start_sec,end_sec,duration_sec,target_seat,gt_class,merged_class,pose_detectable,in_coverage,detected,flagged,class_correct,class_note,latency_sec,n_sus_predictions,n_total_predictions
61,00:10,00:13,10,13,3,A2,leaning_to_neighbor,lateral_movement,True,True,True,False,True,,3.0,5,55
62,00:11,00:15,11,15,4,B2,looking_sideways,head_turn,True,True,True,False,False,,2.0,6,62
63,00:17,00:22,17,22,5,A1,leaning_to_neighbor,lateral_movement,True,True,True,False,True,,0.0,3,70
64,00:22,00:26,22,26,4,A3,talking_to_neighbor,head_turn,True,True,True,False,False,,0.0,3,63
65,00:25,00:30,25,30,5,B1,passing_note,lateral_movement,True,True,True,False,True,,1.0,2,70
68,00:43,00:51,43,51,8,B2,passing_note,lateral_movement,True,True,True,True,True,,0.0,4,87
69,00:48,00:52,48,52,4,A2,talking_to_neighbor,head_turn,True,True,True,False,False,,1.0,1,58
71,01:00,01:05,60,65,5,B2,looking_sideways,head_turn,True,True,True,False,False,,4.0,6,69
72,01:01,01:08,61,68,7,A4,passing_note,lateral_movement,True,True,True,True,True,,3.0,14,83
73,01:04,01:08,64,68,4,B3,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,14,62
74,01:09,01:14,69,74,5,B1,looking_sideways,head_turn,True,True,True,True,True,,0.0,30,70
75,01:10,01:14,70,74,4,A3,talking_to_neighbor,head_turn,True,True,True,True,True,,0.0,28,63
77,01:17,01:22,77,82,5,A3,passing_note,lateral_movement,True,True,True,True,True,,0.0,30,70
78,01:25,01:29,85,89,4,B2,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,15,63
79,01:26,01:33,86,93,7,A1,looking_sideways,head_turn,True,True,True,True,False,,0.0,18,83
81,01:34,01:37,94,97,3,A1,looking_sideways,head_turn,True,True,True,True,True,,0.0,28,55
82,01:36,01:40,96,100,4,B1,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,27,62
83,01:38,01:42,98,102,4,A3,leaning_to_neighbor,lateral_movement,True,True,True,True,True,,0.0,24,62
84,01:41,01:46,101,106,5,A2,looking_sideways,head_turn,True,True,True,True,False,,0.0,7,62
