time_sec,frame,track_id,label,prob,is_flagged,bbox_x1,bbox_y1,bbox_x2,bbox_y2
3.0,90,1,normal,1.0,False,19,638,401,1079
3.0,90,2,normal,0.98,False,444,561,717,772
3.0,90,3,normal,1.0,False,635,725,879,971
3.0,90,4,normal,1.0,False,885,563,1137,787
3.0,90,5,normal,0.992,False,1130,647,1443,1045
3.0,90,6,normal,0.994,False,1321,588,1556,795
3.0,90,7,lateral_movement,1.0,False,1659,652,1919,1075
4.0,120,1,normal,0.997,False,30,636,400,1078
4.0,120,2,lateral_movement,0.999,False,445,561,716,772
4.0,120,3,normal,1.0,False,633,729,879,971
4.0,120,4,normal,0.981,False,885,563,1137,787
4.0,120,5,normal,1.0,False,1130,647,1441,1045
4.0,120,6,normal,0.996,False,1323,588,1556,796
4.0,120,7,lateral_movement,0.998,False,1660,652,1919,1075
5.0,150,1,normal,1.0,False,32,636,400,1079
5.0,150,2,lateral_movement,0.997,False,445,562,716,770
5.0,150,3,normal,1.0,False,634,727,879,972
5.0,150,4,normal,0.993,False,885,563,1137,787
5.0,150,5,normal,1.0,False,1130,647,1440,1045
5.0,150,6,normal,0.997,False,1319,588,1556,795
5.0,150,7,normal,0.999,False,1659,651,1919,1074
6.0,180,1,normal,0.966,False,30,636,400,1080
6.0,180,2,normal,0.863,False,443,562,716,771
6.0,180,3,normal,1.0,False,634,727,879,972
6.0,180,4,normal,0.975,False,885,562,1137,790
6.0,180,5,normal,1.0,False,1130,647,1444,1049
6.0,180,6,normal,0.997,False,1321,588,1557,797
6.0,180,7,normal,0.999,False,1659,651,1919,1076
7.0,210,1,normal,1.0,False,34,636,399,1079
7.0,210,2,normal,1.0,False,441,562,717,770
7.0,210,3,normal,1.0,False,634,727,879,972
7.0,210,4,normal,0.951,False,885,562,1136,789
7.0,210,5,normal,1.0,False,1130,647,1445,1046
7.0,210,6,normal,1.0,False,1321,587,1556,795
7.0,210,7,normal,1.0,False,1658,650,1919,1073
8.0,240,1,normal,1.0,False,20,635,400,1080
8.0,240,2,normal,1.0,False,441,561,718,774
8.0,240,3,normal,1.0,False,634,728,879,972
8.0,240,4,normal,0.982,False,885,562,1137,792
8.0,240,5,normal,1.0,False,1132,646,1443,1046
8.0,240,6,normal,1.0,False,1316,585,1557,792
8.0,240,7,normal,1.0,False,1660,650,1919,1076
9.0,270,1,normal,1.0,False,21,636,399,1079
9.0,270,2,normal,1.0,False,441,561,716,771
9.0,270,3,normal,1.0,False,634,725,879,972
9.0,270,4,normal,0.999,False,885,563,1137,787
9.0,270,5,normal,1.0,False,1132,647,1444,1051
9.0,270,6,normal,1.0,False,1318,585,1557,797
9.0,270,7,normal,1.0,False,1660,650,1919,1076
10.0,300,1,normal,0.998,False,24,634,399,1079
10.0,300,2,normal,0.997,False,441,561,717,771
10.0,300,3,normal,1.0,False,634,725,879,972
10.0,300,4,normal,1.0,False,885,562,1137,789
10.0,300,5,normal,1.0,False,1133,646,1446,1050
10.0,300,6,normal,1.0,False,1320,587,1557,796
10.0,300,7,normal,1.0,False,1659,650,1919,1075
11.0,330,1,normal,1.0,False,23,634,401,1080
11.0,330,2,normal,1.0,False,442,563,657,760
11.0,330,3,normal,1.0,False,594,656,854,977
11.0,330,4,normal,0.996,False,885,563,1136,793
11.0,330,5,normal,1.0,False,1133,646,1450,1046
11.0,330,6,normal,1.0,False,1320,586,1557,795
11.0,330,7,normal,1.0,False,1660,650,1919,1077
12.0,360,1,normal,0.999,False,25,633,401,1079
12.0,360,2,normal,0.962,False,439,564,721,756
12.0,360,4,normal,0.938,False,885,563,1137,794
12.0,360,5,normal,1.0,False,1134,647,1448,1046
12.0,360,6,normal,0.999,False,1318,586,1558,796
12.0,360,7,normal,1.0,False,1660,650,1919,1077
13.0,390,1,normal,0.992,False,14,634,402,1080
13.0,390,2,lateral_movement,0.999,False,441,562,699,763
13.0,390,3,normal,1.0,False,602,672,856,975
13.0,390,4,normal,0.998,False,884,558,1136,796
13.0,390,5,normal,0.971,False,1135,646,1451,1041
13.0,390,6,lateral_movement,1.0,False,1318,586,1557,796
13.0,390,7,normal,1.0,False,1659,650,1919,1077
14.0,420,1,normal,0.994,False,15,634,401,1079
14.0,420,2,lateral_movement,0.998,False,445,561,715,771
14.0,420,3,normal,1.0,False,631,715,869,968
14.0,420,4,normal,0.991,False,885,557,1137,791
14.0,420,5,normal,0.97,False,1136,647,1450,1047
14.0,420,6,lateral_movement,1.0,False,1318,587,1556,797
14.0,420,7,normal,1.0,False,1659,649,1919,1077
15.0,450,1,normal,0.994,False,16,635,399,1080
15.0,450,2,lateral_movement,0.999,False,442,561,714,771
15.0,450,3,normal,0.988,False,633,720,872,969
15.0,450,4,normal,0.999,False,885,561,1137,791
15.0,450,5,normal,1.0,False,1136,645,1446,1053
15.0,450,6,normal,0.995,False,1313,586,1557,795
15.0,450,7,normal,1.0,False,1660,649,1919,1078
16.0,480,1,normal,1.0,False,16,634,401,1080
16.0,480,2,normal,0.999,False,445,562,716,768
16.0,480,3,normal,0.934,False,634,720,873,970
16.0,480,4,normal,0.833,False,885,562,1137,789
16.0,480,5,normal,1.0,False,1137,639,1448,1032
16.0,480,6,normal,0.999,False,1303,584,1557,791
16.0,480,7,normal,1.0,False,1659,650,1919,1076
17.0,510,1,normal,1.0,False,17,634,401,1080
17.0,510,2,normal,1.0,False,444,561,716,771
17.0,510,3,normal,1.0,False,636,719,873,969
17.0,510,4,lateral_movement,1.0,False,885,562,1137,790
17.0,510,5,normal,1.0,False,1138,641,1449,1035
17.0,510,6,normal,0.998,False,1302,583,1558,790
17.0,510,7,normal,1.0,False,1659,650,1919,1074
18.0,540,1,normal,1.0,False,19,620,401,1079
18.0,540,2,normal,1.0,False,444,561,714,768
18.0,540,3,normal,1.0,False,637,718,873,969
18.0,540,4,normal,0.987,False,885,562,1137,790
18.0,540,5,normal,1.0,False,1138,641,1446,1046
18.0,540,6,normal,0.975,False,1303,586,1559,790
18.0,540,7,normal,1.0,False,1661,650,1920,1073
19.0,570,1,normal,1.0,False,19,620,455,1074
19.0,570,2,normal,0.923,False,455,562,716,762
19.0,570,3,normal,1.0,False,637,717,874,970
19.0,570,4,normal,0.993,False,885,562,1137,790
19.0,570,5,normal,1.0,False,1139,638,1450,1040
19.0,570,6,normal,0.94,False,1304,585,1559,791
19.0,570,7,normal,1.0,False,1659,650,1919,1075
20.0,600,1,normal,0.999,False,19,618,454,1069
20.0,600,2,normal,0.991,False,451,562,716,763
20.0,600,3,normal,1.0,False,629,719,871,970
